"URL","Latency 1 (ms)","Latency 2 (ms)","Latency 3 (ms)","Avg Latency (ms)","Min (ms)","Max (ms)","Size (KB)","Cache Status 1","Cache Status 2","Cache Status 3","Age 1 (s)","Age 2 (s)","Age 3 (s)","Status","Error"
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImQ3ODUzN2I3ZWFhNDRhY2MxOWFmMzgyNzRiYjcxM2VlIiwiZnAiOlswLjQ0Njg3NSwwLjMzMzY0Nl0sInIiOjEuMjIsIm8iOiJkbiJ9","11.92","7.22","7.93","9.02","7.22","11.92","9.57","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","102028","102029","102029","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImQ3NmUzZDYwODdkYWZjMWU3MWU4ZTBiOWRmMzZkZWNkIiwiY3JvcCI6WzE5OCwyNDQsMTM1MCw5MDZdLCJmcCI6WzAuNSwwLjVdLCJyIjoxLjUsIm8iOiJkbiJ9","8.54","7.7","11.79","9.34","7.7","11.79","9.33","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","15790","15790","15790","200",""
"https://media.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6IjRhZGZiYmUyYzAzMGY2YmM4OWU0M2RkYWIxN2I1ODM0IiwiY3JvcCI6WzAsODQsMTYwMCw4OTldLCJyIjoxLjc4LCJvIjoiZG4ifQ","9.63","11.8","9.19","10.21","9.19","11.8","47.89","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","34377","34377","34377","200",""
"https://media.dngroup.com/image/eyJ3IjoyNTAsImYiOiJ3ZWJwIiwidSI6Imh0dHBzOi8vd3d3LmRuLm5vL3NlcnZpY2UvZG5qb2JiL21hZGdleC9nZXRhc3NldC8yNmVkMjRmNS05ZTk5LTQzNTMtYjI3OS1lODE0MTljNDc3ODUvIiwiZnAiOlswLjUsMC41XSwibyI6ImRuIn0","5.8","7.47","5.7","6.32","5.7","7.47","1.82","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10900","10900","10901","200",""
"https://media.dngroup.com/image/eyJ3IjoyNTAsImYiOiJ3ZWJwIiwidSI6Imh0dHBzOi8vd3d3LmRuLm5vL3NlcnZpY2UvZG5qb2JiL21hZGdleC9nZXRhc3NldC8yNDczOTk2Mi04MThjLTQ5OWQtYmM3OS02OGNiNWJjMmVmNDMvIiwiZnAiOlswLjUsMC41XSwibyI6ImRuIn0","7.05","7.47","18.65","11.06","7.05","18.65","2.95","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","17039","17039","17040","200",""
"https://media.dngroup.com/image/eyJ3IjoyNTAsImYiOiJ3ZWJwIiwidSI6Imh0dHBzOi8vd3d3LmRuLm5vL3NlcnZpY2UvZG5qb2JiL21hZGdleC9nZXRhc3NldC9iMmY3ODliNC1jNjU4LTQ4NGQtYTY5Zi1hZjFkNTgzZDhhNWIvIiwiZnAiOlswLjUsMC41XSwibyI6ImRuIn0","5.74","7.28","6.89","6.64","5.74","7.28","3.72","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","18649","18649","18649","200",""
"https://media.dngroup.com/image/eyJ3IjoyNTAsImYiOiJ3ZWJwIiwidSI6Imh0dHBzOi8vd3d3LmRuLm5vL3NlcnZpY2UvZG5qb2JiL21hZGdleC9nZXRhc3NldC9mMmY5NzYxMi0yYmJmLTRkMmYtODJiMC1hYjE5MzVjMGEwNzgvIiwiZnAiOlswLjUsMC41XSwibyI6ImRuIn0","7.34","8.33","7.55","7.74","7.34","8.33","3.12","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","7473","7473","7473","200",""
"https://media.dngroup.com/image/eyJ3IjoyNTAsImYiOiJ3ZWJwIiwidSI6Imh0dHBzOi8vd3d3LmRuLm5vL3NlcnZpY2UvZG5qb2JiL21hZGdleC9nZXRhc3NldC9mNzk0MWQ5OC1kNTcwLTRlYTgtYjdlZi1jM2ZlMGQ1ODVlZTIvIiwiZnAiOlswLjUsMC41XSwibyI6ImRuIn0","5.83","5.75","6.08","5.89","5.75","6.08","1.7","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","7473","7473","7473","200",""
"https://media.dngroup.com/image/eyJ3IjoyNTAsImYiOiJ3ZWJwIiwidSI6Imh0dHBzOi8vd3d3LmRuLm5vL3NlcnZpY2UvZG5qb2JiL21hZGdleC9nZXRhc3NldC80MTYxYmFkNC02MWMzLTRkM2MtOTQ5MC0xMTNhOGI2NGI4NDIvIiwiZnAiOlswLjUsMC41XSwibyI6ImRuIn0","5.2","8.9","6.42","6.84","5.2","8.9","2.41","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","14434","14434","14434","200",""
"https://media.dngroup.com/image/eyJ3IjoyNTAsImYiOiJ3ZWJwIiwidSI6Imh0dHBzOi8vd3d3LmRuLm5vL3NlcnZpY2UvZG5qb2JiL21hZGdleC9nZXRhc3NldC8wODVlYzZmNS1lM2YzLTQ5Y2MtOTdjMS0wZTkxN2I4YWI5ZjYvIiwiZnAiOlswLjUsMC41XSwibyI6ImRuIn0","7.31","7.81","6.23","7.12","6.23","7.81","3.11","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","103714","103714","103715","200",""
